year,recent_ipv,help_seek,severity_ord,P05,P06,P07,P08,P09,P11,P12,P14,P15,P16,P17,P18,P19,P23,P24,P25,P26,P27,W,P10,P13,P22
2019,0,0,0,3,3,2,1,3,2,1,4,2,3,2,4,2,,,,,,,,,
2019,0,0,0,2,3,2,3,3,2,1,1,2,2,3,,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,2,1,4,1,3,2,4,2,,,,,,,,,
2019,0,0,0,2,1,1,1,4,2,1,4,1,3,1,4,2,,,,,,,,,
2019,0,0,0,2,3,1,1,4,2,2,4,1,3,97,,2,,,,,,,,,
2019,1,1,0,3,97,2,1,4,2,1,1,1,3,2,11,1,1,2,1,2,,,,,
2019,1,0,2,3,1,1,1,3,2,1,4,1,3,1,11,2,,,,,,,,,
2019,0,1,3,3,1,1,1,3,1,1,1,2,2,1,4,1,2,1,2,,,,,,
2019,0,0,0,3,3,1,1,3,2,2,2,1,2,1,4,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,3,4,1,97,1,4,2,,,,,,,,,
2019,0,0,0,2,1,2,1,3,2,1,3,1,2,1,11,2,,,,,,,,,
2019,0,1,0,3,2,97,3,4,3,1,4,2,1,2,11,1,2,2,1,1,1,,,,
2019,0,0,0,3,1,1,1,3,2,1,1,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,1,3,1,2,2,12,2,,,,,,,,,
2019,0,0,0,3,2,2,1,3,2,1,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,2,2,1,3,2,3,4,1,2,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,4,2,1,2,1,3,2,12,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,1,4,1,2,2,4,2,,,,,,,,,
2019,0,0,0,3,4,1,2,3,2,2,4,1,2,1,4,2,,,,,,,,,
2019,0,1,0,3,1,1,1,4,2,2,2,1,2,1,11,1,2,2,2,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,1,2,2,11,2,,,,,,,,,
2019,1,0,3,3,1,1,1,4,1,2,4,2,1,1,4,2,,,,,,,,,
2019,0,1,0,2,4,1,1,3,1,2,4,1,3,2,4,1,2,2,2,,,,,,
2019,0,0,0,3,3,1,1,3,2,2,4,1,3,1,11,2,,,,,,,,,
2019,0,1,2,2,3,1,1,1,1,2,4,1,2,1,11,1,2,2,2,,,,,,
2019,0,0,0,3,2,1,1,3,2,2,2,1,3,1,4,2,,,,,,,,,
2019,0,0,0,2,1,3,1,3,2,1,4,1,3,97,,2,,,,,,,,,
2019,0,0,0,3,2,1,1,2,2,2,4,1,3,1,5,2,,,,,,,,,
2019,0,0,0,3,1,1,1,4,2,1,4,1,3,1,4,2,,,,,,,,,
2019,0,0,0,1,1,2,2,1,3,1,1,2,3,1,11,2,,,,,,,,,
2019,0,0,0,3,2,1,1,3,1,2,4,1,2,2,11,2,,,,,,,,,
2019,1,1,0,3,1,2,1,3,1,1,4,1,3,2,4,1,1,2,2,,,,,,
2019,1,0,1,3,1,1,1,2,1,3,4,1,2,2,11,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,2,1,4,1,2,1,11,2,,,,,,,,,
2019,0,1,0,3,3,1,1,4,2,2,4,1,3,1,11,1,2,2,2,,,,,,
2019,0,0,0,3,1,1,1,3,2,1,4,1,3,2,11,2,,,,,,,,,
2019,0,1,0,3,4,1,1,3,2,2,4,1,3,2,2,1,2,2,2,,,,,,
2019,0,1,0,2,3,2,1,3,2,3,4,1,3,1,11,1,2,1,2,,,,,,
2019,0,0,0,2,1,2,2,3,1,1,1,1,3,1,11,2,,,,,,,,,
2019,0,0,0,2,3,2,2,4,2,3,1,2,1,2,10,2,,,,,,,,,
2019,0,1,0,3,2,1,1,4,2,1,1,1,3,1,4,1,2,1,2,,,,,,
2019,0,0,0,3,1,3,3,4,1,1,4,1,3,2,11,2,,,,,,,,,
2019,0,0,0,2,1,1,2,3,2,1,3,97,3,1,4,2,,,,,,,,,
2019,0,1,1,2,1,1,1,3,2,2,4,1,3,1,4,1,2,2,2,,,,,,
2019,1,1,3,3,3,1,1,4,2,2,4,1,2,1,4,1,1,2,2,,,,,,
2019,0,0,0,2,97,2,1,2,1,2,97,1,2,1,11,2,,,,,,,,,
2019,1,0,2,3,2,2,1,3,2,1,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,2,1,5,1,2,1,4,2,,,,,,,,,
2019,1,1,3,2,1,2,1,2,1,2,4,2,1,1,3,1,1,2,2,,,,,,
2019,1,0,1,3,1,1,1,3,2,2,4,1,2,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,4,2,2,4,1,2,1,11,2,,,,,,,,,
2019,0,1,3,2,2,2,1,4,2,1,4,1,3,1,5,1,2,2,2,,,,,,
2019,0,1,3,2,1,2,1,3,2,2,4,1,3,1,11,1,2,1,2,,,,,,
2019,0,1,3,2,1,2,3,3,3,1,3,1,3,2,4,1,2,1,2,,,,,,
2019,0,0,0,3,3,2,97,3,2,2,4,1,3,1,5,2,,,,,,,,,
2019,1,1,3,3,2,1,1,4,3,3,4,2,2,2,11,1,1,2,1,2,,,,,
2019,0,0,0,2,2,1,2,3,2,1,4,2,3,2,11,2,,,,,,,,,
2019,1,0,1,2,2,1,2,3,2,2,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,2,3,1,1,1,1,3,1,5,2,,,,,,,,,
2019,0,0,0,2,2,1,1,4,1,3,4,1,2,97,,2,,,,,,,,,
2019,0,0,0,3,97,1,1,3,1,2,97,1,2,1,4,2,,,,,,,,,
2019,0,1,3,2,1,1,1,3,2,1,3,1,3,2,4,1,2,1,2,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,1,2,1,4,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,1,3,1,3,1,5,2,,,,,,,,,
2019,1,1,3,3,1,1,1,3,2,2,4,1,1,3,,1,1,2,1,2,,,,,
2019,0,0,0,3,1,1,1,2,3,3,4,1,3,3,,2,,,,,,,,,
2019,1,0,2,3,2,1,1,4,2,2,2,1,3,1,5,2,,,,,,,,,
2019,0,1,0,3,1,1,1,3,2,2,4,1,3,1,11,1,2,2,2,,,,,,
2019,0,0,0,3,1,2,1,4,1,1,1,2,2,3,,2,,,,,,,,,
2019,0,0,0,3,3,1,1,3,2,2,4,2,2,1,11,2,,,,,,,,,
2019,0,0,0,3,3,1,1,3,2,2,1,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,1,1,3,1,4,2,,,,,,,,,
2019,0,0,0,2,1,2,1,3,2,2,3,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,1,1,1,2,1,4,2,,,,,,,,,
2019,0,0,0,3,97,1,1,3,3,3,4,1,2,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,2,3,2,1,4,1,3,2,4,2,,,,,,,,,
2019,0,0,0,2,2,1,1,3,2,1,1,2,1,2,11,2,,,,,,,,,
2019,0,1,0,3,1,2,1,4,2,2,4,1,3,2,11,1,2,2,2,,,,,,
2019,0,0,0,2,1,2,1,3,2,2,1,97,3,1,11,2,,,,,,,,,
2019,0,0,0,2,1,3,3,2,1,1,4,1,3,1,12,2,,,,,,,,,
2019,0,0,0,3,97,1,1,3,2,3,1,2,1,1,4,2,,,,,,,,,
2019,0,1,0,3,2,1,1,4,2,1,1,1,3,1,4,1,2,2,2,,,,,,
2019,0,0,0,2,1,1,2,3,2,2,3,1,3,1,11,2,,,,,,,,,
2019,1,1,1,3,2,1,1,4,2,2,4,2,2,3,,1,1,1,1,1,1,,,,
2019,0,0,0,3,4,1,1,2,2,2,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,4,1,1,1,3,3,4,1,1,2,11,2,,,,,,,,,
2019,0,0,0,2,97,1,1,3,2,1,2,1,3,2,4,2,,,,,,,,,
2019,0,1,0,3,1,1,1,3,2,1,4,1,3,2,4,1,2,2,2,,,,,,
2019,1,0,1,2,2,1,1,3,97,2,2,1,2,2,11,2,,,,,,,,,
2019,0,0,0,2,2,2,2,3,1,3,3,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,2,1,2,3,97,1,1,97,3,3,,2,,,,,,,,,
2019,0,0,0,2,1,3,2,3,2,3,4,1,3,2,11,2,,,,,,,,,
2019,0,0,0,3,2,1,1,4,2,2,4,1,2,2,3,2,,,,,,,,,
2019,0,1,0,2,2,2,2,3,2,1,5,2,2,1,11,1,2,2,1,2,,,,,
2019,0,0,0,3,2,2,1,4,2,2,4,1,3,2,11,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,2,2,3,1,3,1,11,2,,,,,,,,,
2019,1,1,1,3,2,1,1,3,2,2,1,1,3,2,11,1,1,2,1,2,,,,,
2019,0,0,0,3,1,1,1,3,1,2,4,1,3,1,11,2,,,,,,,,,
2019,1,0,1,3,2,1,1,3,1,2,4,1,3,2,11,2,,,,,,,,,
2019,0,1,0,3,1,1,1,3,2,2,4,1,3,1,11,1,2,2,2,,,,,,
2019,0,0,0,3,1,1,1,4,2,3,4,1,2,1,4,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,2,2,2,1,3,2,4,2,,,,,,,,,
2019,1,0,2,3,2,1,1,3,1,1,4,2,2,1,4,2,,,,,,,,,
2019,0,0,0,2,1,1,1,4,2,2,4,97,2,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,1,3,1,4,2,,,,,,,,,
2019,1,0,1,3,3,2,1,2,2,2,97,1,3,1,4,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,3,4,1,2,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,2,2,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,1,2,4,2,2,3,,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,2,1,2,1,3,1,3,2,,,,,,,,,
2019,0,0,0,2,1,2,1,4,1,3,4,1,3,3,,2,,,,,,,,,
2019,0,1,0,2,1,1,1,3,2,2,2,1,1,1,11,1,2,1,1,2,,,,,
2019,0,0,0,3,1,3,1,3,1,3,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,2,4,2,1,3,2,2,97,1,3,1,4,2,,,,,,,,,
2019,0,0,0,2,1,2,2,3,2,1,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,2,1,1,4,2,1,4,1,2,1,11,2,,,,,,,,,
2019,0,0,0,2,1,2,1,4,2,1,1,1,3,2,4,2,,,,,,,,,
2019,1,1,3,2,3,1,1,3,2,2,4,1,3,2,12,1,1,2,1,2,,,,,
2019,0,0,0,2,1,2,2,4,3,1,4,1,1,2,12,2,,,,,,,,,
2019,0,1,3,3,1,2,1,3,1,2,4,1,3,2,4,1,2,2,2,,,,,,
2019,1,1,0,3,2,1,1,3,2,2,4,1,2,1,4,1,1,2,2,,,,,,
2019,0,0,0,3,3,1,2,4,2,2,2,1,97,1,97,2,,,,,,,,,
2019,0,0,0,2,4,2,1,3,2,2,4,97,1,1,4,2,,,,,,,,,
2019,0,1,3,3,3,1,1,2,2,1,3,1,3,3,,1,2,1,2,,,,,,
2019,0,1,3,2,1,1,1,3,2,1,3,1,3,2,7,1,2,2,2,,,,,,
2019,0,0,0,2,3,1,1,4,2,2,4,1,2,97,,2,,,,,,,,,
2019,0,0,0,3,2,1,1,3,2,2,4,1,3,1,11,2,,,,,,,,,
2019,1,1,3,2,3,1,2,3,2,3,4,1,3,2,11,1,1,2,2,,,,,,
2019,1,0,3,3,97,2,1,3,2,2,4,1,3,1,5,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,1,2,1,1,3,1,4,2,,,,,,,,,
2019,0,0,0,2,1,1,1,4,2,2,4,1,2,97,,2,,,,,,,,,
2019,0,0,0,2,2,1,3,4,1,1,4,97,1,1,4,2,,,,,,,,,
2019,0,0,0,2,5,1,1,4,2,1,4,1,2,2,4,2,,,,,,,,,
2019,0,0,0,3,1,2,2,3,2,2,2,1,3,1,4,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,3,4,1,3,2,4,2,,,,,,,,,
2019,0,1,1,3,1,1,1,4,2,2,1,1,2,1,5,1,2,2,2,,,,,,
2019,0,1,0,3,1,1,1,3,2,1,4,1,3,97,,1,2,2,2,,,,,,
2019,0,1,0,3,1,1,1,3,2,2,4,1,97,2,3,1,2,1,2,,,,,,
2019,0,0,0,2,3,2,1,3,1,2,4,2,2,1,11,2,,,,,,,,,
2019,1,0,2,3,3,2,2,2,1,1,4,1,3,1,5,2,,,,,,,,,
2019,0,0,0,2,1,1,1,2,2,2,1,1,3,2,11,2,,,,,,,,,
2019,0,0,0,2,4,2,1,3,2,3,1,1,1,2,5,2,,,,,,,,,
2019,0,1,3,3,1,1,1,4,2,3,4,1,1,1,11,1,2,2,2,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,2,2,1,11,2,,,,,,,,,
2019,1,0,1,2,2,2,1,2,2,2,4,1,3,1,5,2,,,,,,,,,
2019,0,0,0,2,1,2,1,3,2,1,4,1,3,2,4,2,,,,,,,,,
2019,0,0,0,2,1,2,1,3,2,1,4,1,2,1,11,2,,,,,,,,,
2019,0,0,0,3,3,1,1,3,2,2,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,2,2,1,4,2,,,,,,,,,
2019,1,0,1,3,1,1,1,2,2,1,3,1,2,2,4,2,,,,,,,,,
2019,0,1,0,3,2,1,1,4,2,3,4,1,3,2,11,1,2,2,2,,,,,,
2019,0,0,0,3,2,1,1,4,1,3,2,1,1,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,1,1,1,11,2,,,,,,,,,
2019,0,1,1,3,1,1,1,3,3,3,5,2,2,1,11,1,2,1,2,,,,,,
2019,0,0,0,2,1,2,2,3,2,1,1,1,3,2,11,2,,,,,,,,,
2019,1,0,1,2,3,1,1,3,2,2,3,1,3,2,11,2,,,,,,,,,
2019,0,0,0,2,1,2,1,3,2,2,3,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,2,1,1,3,1,2,4,1,2,97,,2,,,,,,,,,
2019,0,0,0,2,1,2,97,3,2,1,1,1,3,1,4,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,2,2,4,1,2,1,11,2,,,,,,,,,
2019,0,1,0,3,3,1,2,3,1,2,2,1,2,2,2,1,2,2,2,,,,,,
2019,0,1,0,1,3,2,1,2,1,3,3,1,3,2,11,1,2,2,1,1,1,,,,
2019,0,0,0,1,2,2,2,3,3,1,4,1,3,3,,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,1,2,3,2,2,1,11,2,,,,,,,,,
2019,0,1,0,3,2,2,1,4,2,1,4,1,3,97,,1,2,1,2,,,,,,
2019,0,0,0,3,3,1,2,4,1,1,4,1,3,2,4,2,,,,,,,,,
2019,0,0,0,3,4,2,1,3,2,3,5,97,2,2,12,2,,,,,,,,,
2019,0,1,0,3,3,1,1,3,2,2,2,1,3,1,4,1,2,1,2,,,,,,
2019,0,0,0,3,2,1,1,4,2,3,4,1,2,1,7,2,,,,,,,,,
2019,0,1,0,3,2,1,1,3,2,2,1,1,1,1,4,1,2,2,2,,,,,,
2019,0,1,1,2,1,2,1,3,2,2,4,1,3,1,11,1,2,2,2,,,,,,
2019,0,0,0,2,1,1,1,4,97,1,97,1,3,2,4,2,,,,,,,,,
2019,0,1,0,2,2,2,1,3,2,2,4,1,1,2,5,1,2,2,2,,,,,,
2019,0,1,0,3,2,2,1,2,2,2,1,1,3,1,11,1,2,2,2,,,,,,
2019,1,0,2,2,2,1,2,3,2,1,2,1,3,2,11,2,,,,,,,,,
2019,0,0,0,2,1,2,1,2,2,97,1,1,3,97,,2,,,,,,,,,
2019,0,0,0,2,2,1,1,3,2,1,4,1,3,1,4,2,,,,,,,,,
2019,0,0,0,3,1,2,1,3,1,2,4,1,3,1,5,2,,,,,,,,,
2019,0,0,0,3,3,1,2,3,2,1,3,1,2,1,4,2,,,,,,,,,
2019,0,0,0,2,1,2,1,3,2,2,4,2,1,2,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,1,2,4,2,2,1,4,2,,,,,,,,,
2019,0,1,2,3,3,1,1,4,2,3,2,1,1,3,,1,2,1,2,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,2,1,2,1,3,97,2,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,2,1,1,3,2,2,1,1,3,2,11,2,,,,,,,,,
2019,0,1,3,3,1,1,1,3,2,2,4,1,2,1,11,1,2,2,2,,,,,,
2019,0,0,0,2,1,1,1,3,2,2,4,1,3,2,5,2,,,,,,,,,
2019,0,0,0,1,1,2,97,3,2,2,2,2,2,2,11,2,,,,,,,,,
2019,1,0,2,3,1,2,1,3,2,3,4,1,3,2,11,2,,,,,,,,,
2019,0,0,0,2,2,1,1,3,2,2,4,1,3,1,11,2,,,,,,,,,
2019,1,0,3,3,1,1,1,4,1,2,4,1,3,1,11,2,,,,,,,,,
2019,0,1,0,2,2,1,1,3,2,1,4,1,3,1,4,1,2,1,2,,,,,,
2019,0,0,0,1,2,1,1,3,2,1,3,1,3,1,11,2,,,,,,,,,
2019,0,1,0,3,2,1,1,3,2,3,1,1,1,1,11,1,2,2,2,,,,,,
2019,0,0,0,3,1,1,1,3,3,3,4,1,3,2,4,2,,,,,,,,,
2019,1,0,1,3,1,2,1,3,2,2,4,1,2,1,11,2,,,,,,,,,
2019,1,0,2,3,1,1,1,3,2,2,4,1,3,1,5,2,,,,,,,,,
2019,0,0,0,3,1,1,2,3,1,2,4,1,97,1,11,2,,,,,,,,,
2019,0,1,3,2,1,2,2,3,1,1,3,1,3,1,11,1,2,2,2,,,,,,
2019,1,0,1,3,3,1,1,4,2,2,4,1,3,1,4,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,1,2,2,11,2,,,,,,,,,
2019,0,1,0,2,2,2,1,3,2,1,1,2,1,2,11,1,2,2,1,2,,,,,
2019,0,0,0,3,1,1,1,3,1,3,97,1,3,1,11,2,,,,,,,,,
2019,0,0,0,2,3,1,1,3,2,2,1,1,2,2,3,2,,,,,,,,,
2019,0,0,0,3,2,1,1,3,2,1,4,1,3,2,5,2,,,,,,,,,
2019,0,0,0,3,2,1,1,3,1,2,4,1,3,1,11,2,,,,,,,,,
2019,1,0,1,2,1,1,1,3,2,2,4,1,3,1,12,2,,,,,,,,,
2019,0,0,0,2,1,1,1,3,2,2,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,1,1,2,4,2,2,3,1,2,1,11,2,,,,,,,,,
2019,1,0,3,3,2,2,1,3,2,2,2,1,2,2,11,2,,,,,,,,,
2019,0,1,2,2,2,1,1,3,3,1,4,1,2,2,11,1,2,1,1,1,2,,,,
2019,0,0,0,2,1,1,2,3,1,2,4,1,2,3,,2,,,,,,,,,
2019,1,0,2,3,1,1,1,3,1,2,4,1,2,1,4,2,,,,,,,,,
2019,0,1,0,3,1,1,1,4,3,2,1,2,2,2,11,1,2,2,2,,,,,,
2019,0,0,0,2,1,1,2,3,1,2,4,1,3,1,5,2,,,,,,,,,
2019,0,1,0,2,1,1,1,3,2,2,4,1,2,1,4,1,2,2,2,,,,,,
2019,1,0,1,3,1,1,97,3,2,1,4,2,2,3,,2,,,,,,,,,
2019,0,1,3,2,2,2,1,3,2,2,3,1,3,2,4,1,2,2,2,,,,,,
2019,0,0,0,1,1,2,3,3,1,1,1,1,3,1,11,2,,,,,,,,,
2019,1,0,2,3,2,2,1,3,2,2,4,1,3,2,4,2,,,,,,,,,
2019,0,0,0,2,1,1,1,4,1,2,2,1,2,1,4,2,,,,,,,,,
2019,0,0,0,2,1,2,2,2,3,2,2,1,2,2,11,2,,,,,,,,,
2019,0,0,0,2,3,2,1,4,2,1,4,1,3,1,11,2,,,,,,,,,
2019,0,1,0,2,1,1,1,3,1,2,4,2,2,1,4,1,2,2,2,,,,,,
2019,0,0,0,2,4,1,1,3,2,1,4,1,3,1,4,2,,,,,,,,,
2019,0,1,3,3,1,1,1,4,2,3,2,1,3,1,12,1,2,2,2,,,,,,
2019,0,0,0,3,3,1,1,3,2,1,1,1,3,1,4,2,,,,,,,,,
2019,1,0,1,3,2,1,1,2,1,1,4,2,2,2,4,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,2,1,1,4,2,,,,,,,,,
2019,0,0,0,3,1,2,1,3,2,2,4,1,2,1,11,2,,,,,,,,,
2019,0,1,2,2,1,2,2,3,1,1,1,1,3,1,11,1,2,1,2,,,,,,
2019,1,1,2,2,1,1,2,3,2,1,1,1,3,2,11,1,1,1,1,2,,,,,
2019,0,0,0,2,1,1,1,3,1,2,1,2,2,1,4,2,,,,,,,,,
2019,0,0,0,2,2,1,1,2,2,2,4,1,2,1,5,2,,,,,,,,,
2019,0,1,1,3,1,1,1,3,2,2,4,1,3,1,11,1,2,2,2,,,,,,
2019,0,0,0,2,2,1,1,3,2,1,3,1,2,1,4,2,,,,,,,,,
2019,0,1,0,2,2,1,1,4,2,2,4,1,3,1,11,1,2,2,1,1,1,,,,
2019,0,1,0,3,2,1,1,3,2,2,4,1,3,1,11,1,2,2,2,,,,,,
2019,0,0,0,2,1,1,1,3,2,1,1,1,1,2,11,2,,,,,,,,,
2019,1,0,3,3,1,1,1,4,2,1,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,2,1,2,2,4,2,3,4,1,3,2,5,2,,,,,,,,,
2019,0,0,0,2,97,2,1,3,2,1,1,97,2,1,4,2,,,,,,,,,
2019,0,1,0,2,1,2,1,3,2,3,1,1,3,2,11,1,2,2,2,,,,,,
2019,0,0,0,2,2,2,97,3,3,2,4,1,2,1,5,2,,,,,,,,,
2019,1,1,1,3,3,2,1,3,2,1,4,1,3,1,11,1,1,2,2,,,,,,
2019,0,1,0,2,2,1,1,3,3,3,4,1,1,2,11,1,2,2,2,,,,,,
2019,0,0,0,3,3,1,1,3,3,3,4,1,3,1,4,2,,,,,,,,,
2019,1,0,3,3,1,1,1,3,1,3,2,1,3,1,11,2,,,,,,,,,
2019,0,1,0,2,97,1,1,1,2,1,4,1,3,1,5,1,2,1,2,,,,,,
2019,0,1,0,2,97,1,97,4,1,3,5,1,1,3,,1,2,1,2,,,,,,
2019,0,1,0,3,2,2,1,3,2,1,4,1,3,1,4,1,2,2,2,,,,,,
2019,0,0,0,3,1,1,1,3,2,1,2,1,3,1,11,2,,,,,,,,,
2019,0,0,0,3,3,1,1,3,2,2,4,1,3,2,5,2,,,,,,,,,
2019,1,1,3,3,1,1,1,4,2,1,4,1,3,1,4,1,1,2,2,,,,,,
2019,0,0,0,3,97,1,1,3,3,3,4,1,3,1,3,2,,,,,,,,,
2019,0,0,0,3,97,1,1,3,2,3,4,1,2,2,5,2,,,,,,,,,
2019,0,0,0,2,3,2,3,3,2,1,1,1,3,1,12,2,,,,,,,,,
2019,0,1,1,1,3,1,3,3,2,2,2,2,2,2,11,1,2,1,2,,,,,,
2019,0,0,0,3,1,1,1,3,1,2,1,1,3,1,4,2,,,,,,,,,
2019,1,1,3,3,4,2,1,3,2,1,4,1,3,1,11,1,1,2,2,,,,,,
2019,0,0,0,3,1,1,1,3,1,2,1,1,3,1,3,2,,,,,,,,,
2019,1,0,1,2,1,1,1,3,2,2,1,1,3,1,11,2,,,,,,,,,
2019,0,1,0,1,1,2,3,3,2,1,1,97,3,3,,1,2,2,1,2,,,,,
2019,0,1,0,3,2,1,1,3,3,3,4,1,2,1,11,1,2,2,2,,,,,,
2019,0,0,0,3,1,1,1,4,1,2,4,1,3,1,11,2,,,,,,,,,
2019,0,0,0,2,2,3,1,2,1,1,3,1,3,2,11,2,,,,,,,,,
2019,0,0,0,3,1,1,1,4,2,1,1,2,2,1,5,2,,,,,,,,,
2019,0,0,0,3,1,1,1,4,2,3,2,2,2,1,97,2,,,,,,,,,
2019,0,0,0,3,1,1,1,3,2,2,4,1,3,1,11,2,,,,,,,,,
2019,1,0,1,3,1,1,1,3,2,2,4,1,2,2,4,2,,,,,,,,,
2019,0,1,0,3,1,1,1,3,2,2,1,1,3,2,4,1,2,2,2,,,,,,
2019,0,0,0,2,97,2,97,3,2,2,4,1,2,2,11,2,,,,,,,,,
2019,0,1,0,3,2,1,1,4,3,3,4,1,2,2,4,1,2,2,2,,,,,,
2019,0,0,0,2,3,1,1,4,2,1,2,1,3,1,11,2,,,,,,,,,
2019,1,0,1,3,1,2,1,3,2,2,1,1,97,3,,2,,,,,,,,,
